author,scheme,variant,features,model,n_feats,bal_acc,bal_sd,f1_macro,acc
alterman,year_terciles,drop2,punctuation,dummy,10,0.333,0.0,0.187,0.391
alterman,year_terciles,drop2,punctuation,logreg,10,0.439,0.07,0.426,0.451
alterman,year_terciles,drop2,punctuation,svm,10,0.444,0.069,0.43,0.481
alterman,year_terciles,drop2,lexical,dummy,50,0.333,0.0,0.187,0.391
alterman,year_terciles,drop2,lexical,logreg,50,0.437,0.083,0.429,0.449
alterman,year_terciles,drop2,lexical,svm,50,0.433,0.083,0.427,0.454
alterman,year_terciles,drop2,phraseology,dummy,5,0.333,0.0,0.187,0.391
alterman,year_terciles,drop2,phraseology,logreg,5,0.484,0.074,0.473,0.486
alterman,year_terciles,drop2,phraseology,svm,5,0.491,0.076,0.485,0.509
alterman,year_terciles,drop2,combined,dummy,65,0.333,0.0,0.187,0.391
alterman,year_terciles,drop2,combined,logreg,65,0.523,0.096,0.517,0.538
alterman,year_terciles,drop2,combined,svm,65,0.515,0.099,0.509,0.533
